,1,3,5,7,9,11,13,15,17,19,21
30,0.05298234334042229,0.3813619024708753,0.3095814678747356,0.19324667041717924,0.11569490805050497,0.08513193760203663,0.07005502388500306,0.05749825325163915,0.04795339863786707,0.04608123174251977,0.041942066884373186
40,0.01826184063587999,0.422966201917092,0.4658795451899569,0.19165032221910894,0.09588924536895693,0.0630323581350386,0.04937482816540206,0.03935886772770214,0.03225567034793975,0.029854816194554434,0.02718589425260598
50,0.003918644523418391,0.29495737782024745,0.6491641980624887,0.21330151733626634,0.07347892854331284,0.04346815242766511,0.033929900796873524,0.028722220752729344,0.023227718853036206,0.023766396599959272,0.02219797915732813
60,0.0032403656984146822,0.23591613491340013,0.7773131856758435,0.2603427917128852,0.07937428462418916,0.03955734870316985,0.027661028909127028,0.01904352498656625,0.016175071360609028,0.016678152997932294,0.014496360355876203
70,-0.0006642509310965661,0.06351459355114852,0.8069595595475602,0.31255027615371145,0.08748170386009946,0.04699533389222388,0.030130707208868457,0.02342750123540882,0.020183760889996072,0.017371131058141476,0.014092426074000408
80,-0.0006605130136247972,0.016786797184014657,0.8076947914568287,0.3534668444198752,0.09460138971551846,0.048487509990925104,0.033804619126693636,0.025974567619824196,0.018855510387119745,0.014276352495159017,0.011199955862243094
90,-0.0006596396093112578,-0.0019724670802045985,0.78270749388468,0.38860263391318217,0.10855429133020589,0.05526201524900698,0.03435735477079138,0.022950382080414333,0.018194206066467156,0.012224259817719574,0.009418343897504067
100,0.0,-0.0006594216190238811,0.7335110653628409,0.4253503119596377,0.11063297060265487,0.060741920261736526,0.03676972029530268,0.024484005880770376,0.016493415758430552,0.011276568278292043,0.008716484343507802
110,0.0,0.0,0.6457058077954745,0.4449614341390763,0.11863850607114024,0.06593940842480639,0.039391159502790485,0.024586796550402412,0.01595576875653837,0.010653414642153192,0.007994914938997622
120,0.0,0.0,0.5746477717006495,0.4528027227430931,0.12163518469819168,0.06670761425194016,0.04046466895876821,0.025838439590252005,0.016673057013924963,0.011352612940882523,0.008224728966625294
130,0.0,0.0,0.5092911120637429,0.46753604492703726,0.1266395924973439,0.06702222725268736,0.04484885558444207,0.028367198714672415,0.017513009607522667,0.01100271801946362,0.007650676029563042
140,0.0,0.0,0.42710424367226907,0.4449410974614566,0.13207614451213778,0.07307510778036097,0.047188830049581965,0.02963625482764376,0.017152617808632975,0.010653414642153192,0.007078226607855731
150,0.0,0.0,0.32942649910457544,0.44579018571919127,0.13746058796175575,0.07276033976380025,0.04944287456421381,0.03052905421375096,0.01619459174301585,0.009956576529477568,0.006165626112566769
